number of training samples = 28251
number of testing samples  = 3139
model layer: [2022, 1200, 560, 480, 320, 240, 120, 1]
activation: relu
epoch train_loss test_loss lr time(s)
107 5.4075e+03 5.3969e+03 5.905e-05 24.510
108 5.4318e+03 9.6200e+03 5.905e-05 23.824
109 5.1346e+03 5.6176e+03 5.905e-05 24.151
110 4.8183e+03 5.3193e+03 5.905e-05 24.554
111 4.8180e+03 5.5060e+03 5.905e-05 24.394
112 6.4905e+03 5.4943e+03 5.905e-05 24.231
113 4.8249e+03 5.5432e+03 5.905e-05 24.352
114 4.7944e+03 5.6165e+03 5.905e-05 24.384
115 4.8113e+03 6.2625e+03 5.905e-05 24.497
116 4.9577e+03 5.5132e+03 5.905e-05 23.950
117 6.1112e+03 6.8140e+03 5.905e-05 23.691
118 5.5452e+03 5.3763e+03 5.905e-05 24.020
119 4.8547e+03 5.6086e+03 5.905e-05 23.536
120 4.8323e+03 5.4104e+03 5.314e-05 24.329
121 4.8645e+03 5.4211e+03 5.314e-05 25.417
122 4.8689e+03 5.3682e+03 5.314e-05 24.717
123 4.7303e+03 5.3777e+03 5.314e-05 24.223
124 4.7808e+03 5.2506e+03 5.314e-05 23.889
125 4.7920e+03 5.3677e+03 5.314e-05 24.808
126 4.9077e+03 5.8428e+03 5.314e-05 24.750
127 4.7476e+03 7.9694e+03 5.314e-05 23.929
128 4.7271e+03 5.2337e+03 5.314e-05 23.830
129 4.8307e+03 5.4806e+03 5.314e-05 24.269
130 4.7716e+03 5.5317e+03 5.314e-05 24.100
131 4.6900e+03 6.0846e+03 5.314e-05 23.701
132 4.9981e+03 5.4089e+03 5.314e-05 23.661
133 5.1539e+03 5.5667e+03 5.314e-05 23.436
134 5.1103e+03 5.3817e+03 5.314e-05 23.507
135 4.7166e+03 5.1863e+03 5.314e-05 24.089
136 4.6995e+03 5.3426e+03 5.314e-05 25.188
137 4.6392e+03 7.5410e+03 5.314e-05 25.109
138 4.7423e+03 5.2228e+03 5.314e-05 25.236
139 5.2121e+03 5.2247e+03 5.314e-05 25.532
140 4.6207e+03 5.3824e+03 4.783e-05 25.392
141 4.5983e+03 5.3311e+03 4.783e-05 24.394
142 4.5740e+03 5.2800e+03 4.783e-05 24.886
143 4.6340e+03 5.1157e+03 4.783e-05 24.788
144 5.4273e+03 6.6690e+03 4.783e-05 24.297
145 5.0933e+03 5.3540e+03 4.783e-05 25.104
146 4.7474e+03 5.2319e+03 4.783e-05 25.251
147 4.5969e+03 5.1814e+03 4.783e-05 24.310
148 4.5720e+03 5.1127e+03 4.783e-05 24.899
149 4.5419e+03 5.4653e+03 4.783e-05 26.194
150 4.5613e+03 6.6689e+03 4.783e-05 25.989
151 4.6505e+03 5.1803e+03 4.783e-05 26.164
152 4.7116e+03 5.4477e+03 4.783e-05 24.647
153 4.4980e+03 5.0964e+03 4.783e-05 25.856
154 4.5354e+03 5.8114e+03 4.783e-05 24.050
155 4.8667e+03 5.1886e+03 4.783e-05 23.487
156 4.6598e+03 5.2584e+03 4.783e-05 24.141
157 4.8262e+03 5.1323e+03 4.783e-05 24.042
158 4.6794e+03 5.8370e+03 4.783e-05 23.920
159 4.4946e+03 5.4421e+03 4.783e-05 23.472
160 4.4473e+03 5.1796e+03 4.305e-05 23.026
161 4.5217e+03 5.2947e+03 4.305e-05 23.154
162 4.5862e+03 5.2601e+03 4.305e-05 23.701
163 4.4759e+03 5.2673e+03 4.305e-05 25.509
164 4.5854e+03 5.1252e+03 4.305e-05 23.963
165 4.4741e+03 5.4694e+03 4.305e-05 23.695
166 4.4638e+03 5.9919e+03 4.305e-05 23.656
167 4.4856e+03 5.2539e+03 4.305e-05 23.762
168 4.5008e+03 5.2971e+03 4.305e-05 23.622
169 4.3964e+03 5.1533e+03 4.305e-05 25.003
170 4.4418e+03 5.2348e+03 4.305e-05 24.137
171 4.5589e+03 5.3970e+03 4.305e-05 23.803
172 4.4416e+03 5.2919e+03 4.305e-05 25.178
173 4.4566e+03 5.0385e+03 4.305e-05 24.974
174 4.4022e+03 4.9920e+03 4.305e-05 24.283
175 4.3893e+03 5.0955e+03 4.305e-05 24.783
176 4.3913e+03 5.0819e+03 4.305e-05 26.057
177 4.3516e+03 5.1238e+03 4.305e-05 27.209
178 4.4440e+03 5.0494e+03 4.305e-05 26.635
179 4.3551e+03 5.1191e+03 4.305e-05 25.360
180 4.3868e+03 5.0623e+03 3.874e-05 24.053
181 4.3746e+03 5.0205e+03 3.874e-05 23.602
182 4.3516e+03 5.2446e+03 3.874e-05 24.881
183 4.3387e+03 5.3936e+03 3.874e-05 22.888
184 4.3288e+03 5.0577e+03 3.874e-05 24.455
185 4.3319e+03 5.3412e+03 3.874e-05 24.497
186 4.3265e+03 5.0816e+03 3.874e-05 23.342
187 4.3157e+03 5.5089e+03 3.874e-05 25.881
188 4.3118e+03 5.3212e+03 3.874e-05 25.349
189 4.3124e+03 5.0840e+03 3.874e-05 27.353
190 4.2816e+03 5.0512e+03 3.874e-05 27.565
191 4.2892e+03 5.0322e+03 3.874e-05 27.391
192 4.2418e+03 4.9874e+03 3.874e-05 25.340
193 4.2757e+03 4.9882e+03 3.874e-05 25.409
194 4.2767e+03 5.2314e+03 3.874e-05 25.551
195 4.2448e+03 5.1820e+03 3.874e-05 23.920
196 4.2738e+03 4.9686e+03 3.874e-05 25.614
197 4.2460e+03 5.4143e+03 3.874e-05 23.249
198 4.2168e+03 5.0443e+03 3.874e-05 22.492
199 4.2833e+03 5.1377e+03 3.874e-05 22.572
200 4.2503e+03 5.0714e+03 3.487e-05 23.987
201 4.2025e+03 4.9921e+03 3.487e-05 25.904
202 4.2087e+03 5.0760e+03 3.487e-05 24.821
203 4.2002e+03 4.9720e+03 3.487e-05 22.859
204 4.1715e+03 5.0903e+03 3.487e-05 22.541
205 4.1946e+03 5.1356e+03 3.487e-05 23.205
206 4.2188e+03 5.5720e+03 3.487e-05 22.810
207 4.1830e+03 4.9446e+03 3.487e-05 22.762
208 4.1838e+03 5.0487e+03 3.487e-05 23.059
209 4.1802e+03 4.9139e+03 3.487e-05 22.707
210 4.1633e+03 4.9865e+03 3.487e-05 22.567
211 4.1290e+03 5.0050e+03 3.487e-05 22.580
212 4.1234e+03 4.9929e+03 3.487e-05 23.204
213 4.1351e+03 4.9272e+03 3.487e-05 22.949
